54688-1,2025-10-29T00:00:00.018,Rate Change,400,,0.00,Rate change
54688-1,2025-09-23T00:00:00.017,Credit,620,,546.00,Payment
54688-1,2025-09-17T00:00:00.016,Rate Change,400,,0.00,Rate change
54688-1,2025-08-25T00:00:00.015,Credit,620,,546.00,Payment
54688-1,2025-08-11T00:00:00.014,Credit,620,,546.00,Payment
54688-1,2025-07-18T00:00:00.013,Credit,620,,618.00,Payment
54688-1,2025-06-20T00:00:00.012,Credit,620,,618.00,Payment
54688-1,2025-05-06T00:00:00.011,Credit,620,,618.00,Payment
54688-1,2025-04-07T00:00:00.010,Credit,620,,618.00,Payment
54688-1,2025-03-12T00:00:00.009,Debit,710,,1179.00,Escrow disbursement
54688-1,2025-03-04T00:00:00.008,Credit,620,,618.00,Payment
54688-1,2025-01-24T00:00:00.007,Credit,620,,618.00,Payment
54688-1,2024-12-23T00:00:00.006,Credit,620,,618.00,Payment
54688-1,2024-12-19T00:00:00.005,Rate Change,400,,0.00,Rate change
54688-1,2024-11-27T00:00:00.004,Credit,620,,618.00,Payment
54688-1,2024-12-19T00:00:00.003,Rate Change,400,,0.00,Rate change
54688-1,2024-12-18T00:00:00.002,Rate Change,400,,0.00,Rate change
54688-1,2024-11-07T00:00:00.001,Rate Change,400,,0.00,Rate change
